Word,Count
------------------------------------------------------------------------------,4
в,4
<autogenerated,4
********************************,4
/>,4
случае,2
генерации,2
к,2
и,2
файле,2
[assembly:,2
Этот,2
будут,2
привести,2
потеряны,2
WriteCodeFragment,2
\AssemblyVersion("\1.0.*"\)]\,2
Исполняемая,2
классом,2
код,2
повторной,2
создан,2
MSBuild,2
работе,2
</auto-generated>,2
версия:4.0.30319.42000,2
задание,2
программой,2
могут,2
кода,2
Создано,2
этом,2
Изменения,2
<auto-generated>,2
неправильной,2
2,1
3,1
