File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Сорокин\Lab1\Lab1\Program.cs,312,301,209,33,5,0,6,8,0,0
D:\Сорокин\Lab1\Lab1\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs,5,3,2,0,1,0,1,2,1,2
D:\Сорокин\Lab1\Lab1\obj\Debug\netcoreapp3.1\Lab1.AssemblyInfo.cs,24,9,2,0,5,0,10,31,9,27
D:\Сорокин\Lab1\Lab1.Tests\UnitTest1.cs,14,12,4,0,2,0,0,0,0,0
D:\Сорокин\Lab1\Lab1.Tests\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs,5,3,2,0,1,0,1,2,1,2
D:\Сорокин\Lab1\Lab1.Tests\obj\Debug\netcoreapp3.1\Lab1.Tests.AssemblyInfo.cs,24,9,2,0,5,0,10,31,9,27
D:\Сорокин\Lab1\Lab1.Testsaaa\UnitTest1.cs,16,13,5,0,3,0,0,0,0,0
D:\Сорокин\Lab1\Lab1.Testsaaa\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs,5,3,2,0,1,0,1,2,1,2
D:\Сорокин\Lab1\Lab1.Testsaaa\Properties\AssemblyInfo.cs,21,15,3,0,5,0,1,2,0,0
D:\Сорокин\Lab1\UnitTestProject1\UnitTest1.cs,15,13,5,0,2,0,0,0,0,0
D:\Сорокин\Lab1\UnitTestProject1\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs,5,3,2,0,1,0,1,2,1,2
D:\Сорокин\Lab1\UnitTestProject1\Properties\AssemblyInfo.cs,21,15,3,0,5,0,1,2,0,0
