Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,12,467,399,241,33,36,0,32,82,22,62
D:\Сорокин\Lab1,12,467,399,241,33,36,0,32,82,22,62
D:\Сорокин\Lab1\Lab1,3,341,313,213,33,11,0,17,41,10,29
D:\Сорокин\Lab1\Lab1.Tests,3,43,24,8,0,8,0,11,33,10,29
D:\Сорокин\Lab1\Lab1.Tests\obj,2,29,12,4,0,6,0,11,33,10,29
D:\Сорокин\Lab1\Lab1.Tests\obj\Debug,2,29,12,4,0,6,0,11,33,10,29
D:\Сорокин\Lab1\Lab1.Tests\obj\Debug\netcoreapp3.1,2,29,12,4,0,6,0,11,33,10,29
D:\Сорокин\Lab1\Lab1.Testsaaa,3,42,31,10,0,9,0,2,4,1,2
D:\Сорокин\Lab1\Lab1.Testsaaa\Properties,1,21,15,3,0,5,0,1,2,0,0
D:\Сорокин\Lab1\Lab1.Testsaaa\obj,1,5,3,2,0,1,0,1,2,1,2
D:\Сорокин\Lab1\Lab1.Testsaaa\obj\Debug,1,5,3,2,0,1,0,1,2,1,2
D:\Сорокин\Lab1\Lab1\obj,2,29,12,4,0,6,0,11,33,10,29
D:\Сорокин\Lab1\Lab1\obj\Debug,2,29,12,4,0,6,0,11,33,10,29
D:\Сорокин\Lab1\Lab1\obj\Debug\netcoreapp3.1,2,29,12,4,0,6,0,11,33,10,29
D:\Сорокин\Lab1\UnitTestProject1,3,41,31,10,0,8,0,2,4,1,2
D:\Сорокин\Lab1\UnitTestProject1\Properties,1,21,15,3,0,5,0,1,2,0,0
D:\Сорокин\Lab1\UnitTestProject1\obj,1,5,3,2,0,1,0,1,2,1,2
D:\Сорокин\Lab1\UnitTestProject1\obj\Debug,1,5,3,2,0,1,0,1,2,1,2
